t_s,step_idx,n_drones,min_separation_m,max_separation_m,mean_separation_m,min_distance_to_goal_m,mean_distance_to_goal_m,max_distance_to_goal_m,mean_speed_ms,max_speed_ms
69.0,690,5,9.87816008169658,39.97521259182297,19.989813164426614,2924.4114934420422,2944.3723400853974,2964.3867060287266,15.0,15.000000000000002
70.0,700,5,9.878158856699576,39.97521258966899,19.989812802930537,2909.111493442333,2929.0723400906363,2949.0867060287674,15.0,15.000000000000002
71.0,710,5,9.878157842006367,39.97521258818137,19.989812506445315,2893.811493442571,2913.772340094939,2933.786706028787,15.0,15.000000000000002
72.0,720,5,9.878157002144675,39.9752125871685,19.989812263412208,2878.511493442767,2898.4723400984712,2918.486706028795,15.0,15.000000000000002
73.0,730,5,9.878156307533992,39.97521258649151,19.989812064307678,2863.211493442927,2883.172340101369,2903.186706028797,15.0,15.000000000000002
74.0,740,5,9.878155733520773,39.97521258604828,19.989811901287524,2847.911493443057,2867.8723401037473,2887.886706028797,15.0,15.0
75.0,750,5,9.878155259566455,39.9752125857668,19.98981176789371,2832.611493443162,2852.5723401056975,2872.586706028798,15.000000000000004,15.000000000000002
76.0,760,5,9.87815486856995,39.975212585594065,19.98981165881083,2817.3114934432465,2837.2723401072953,2857.2867060287995,15.0,15.0
77.0,770,5,9.878154546300188,39.97521258549332,19.98981156966653,2802.0114934433145,2821.972340108605,2841.9867060288025,15.0,15.000000000000002
78.0,780,5,9.87815428092122,39.97521258543821,19.98981149686522,2786.7114934433703,2806.6723401096774,2826.6867060288077,15.0,15.000000000000002
79.0,790,5,9.878154062597288,39.975212585412336,19.989811437452506,2771.4114934434137,2791.372340110555,2811.3867060288135,15.0,15.000000000000002
80.0,800,5,9.878153883159017,39.975212585403256,19.98981138900072,2756.111493443449,2776.0723401112728,2796.0867060288215,15.0,15.0
81.0,810,5,9.878153735827514,39.97521258540211,19.989811349516664,2740.8114934434775,2760.7723401118596,2780.7867060288286,15.0,15.000000000000002
82.0,820,5,9.878153614981388,39.975212585405636,19.989811317365533,2725.5114934435005,2745.47234011234,2765.4867060288375,15.0,15.000000000000002
83.0,830,5,9.878153515962103,39.975212585409956,19.989811291205836,2710.2114934435185,2730.172340112731,2750.1867060288464,15.0,15.000000000000002
84.0,840,5,9.878153434913822,39.97521258541417,19.989811269938464,2694.9114934435324,2714.872340113051,2734.8867060288544,15.0,15.000000000000004
85.0,850,5,9.878153368646522,39.97521258541721,19.989811252662754,2679.611493443544,2699.572340113312,2719.586706028863,15.0,15.000000000000002
86.0,860,5,9.878153314524548,39.97521258541814,19.98981123864141,2664.3114934435525,2684.2723401135245,2704.28670602887,15.0,15.000000000000002
87.0,870,5,9.878153270371861,39.975212585417324,19.98981122727137,2649.0114934435596,2668.972340113697,2688.986706028877,15.0,15.000000000000002
88.0,880,5,9.878153234393197,39.97521258541573,19.989811218060137,2633.711493443565,2653.672340113838,2673.6867060288846,15.0,15.000000000000002
89.0,890,5,9.87815320510966,39.97521258541255,19.989811210604188,2618.411493443569,2638.3723401139523,2658.3867060288903,15.0,15.000000000000002
90.0,900,5,9.878153181302741,39.97521258540821,19.989811204574682,2603.1114934435727,2623.072340114045,2643.0867060288956,15.000000000000004,15.000000000000002
91.0,910,5,9.878153161972037,39.97521258540332,19.989811199703727,2587.8114934435753,2607.7723401141207,2627.7867060289004,15.0,15.000000000000002
92.0,920,5,9.8781531462945,39.97521258539802,19.98981119577252,2572.5114934435774,2592.472340114182,2612.4867060289043,15.0,15.000000000000002
93.0,930,5,9.878153133596062,39.97521258539362,19.98981119260342,2557.211493443579,2577.172340114232,2597.1867060289087,15.0,15.000000000000002
94.0,940,5,9.878153123323031,39.975212585388654,19.98981119005084,2541.9114934435797,2561.872340114272,2581.886706028912,15.0,15.0
95.0,950,5,9.878153115023162,39.97521258538361,19.98981118799704,2526.611493443581,2546.5723401143046,2566.5867060289147,15.0,15.000000000000002
96.0,960,5,9.878153108326618,39.9752125853786,19.98981118634648,2511.311493443582,2531.2723401143307,2551.286706028917,14.999999999999996,15.000000000000002
97.0,970,5,9.878153102930213,39.9752125853746,19.989811185021736,2496.0114934435824,2515.972340114352,2535.986706028919,15.0,15.000000000000002
98.0,980,5,9.87815309858698,39.97521258537074,19.989811183959414,2480.7114934435826,2500.672340114369,2520.6867060289205,15.0,15.000000000000002
99.0,990,5,9.878153095096245,39.97521258536665,19.9898111831084,2465.411493443583,2485.3723401143825,2505.386706028922,15.0,15.000000000000002
